Date,Temperature_C,Humidity_%,Wind_Speed_kmph,Pressure_hPa,Wind_Direction_deg
1973-01-01,21.1,48.4,16.9,1008.0,167.1
1973-01-02,20.4,56.1,6.5,1014.2,54.5
1973-01-03,20.1,55.0,19.4,1012.9,358.5
1973-01-04,22.0,41.7,5.3,1008.5,260.5
1973-01-05,25.0,41.6,19.9,1010.5,131.0
1973-01-06,18.1,53.6,17.1,1013.2,72.4
1973-01-07,21.6,55.9,3.5,1014.8,105.8
1973-01-08,26.6,54.9,7.1,1011.2,27.7
1973-01-09,24.9,57.0,16.8,1011.6,128.1
1973-01-10,27.2,57.8,18.0,1006.8,12.4
1973-01-11,24.4,51.2,6.7,1010.6,62.3
1973-01-12,21.8,51.4,2.3,1008.6,80.9
1973-01-13,21.5,50.9,8.7,1009.8,120.4
1973-01-14,16.0,43.2,8.0,1009.0,322.9
1973-01-15,15.6,41.1,5.9,1010.7,68.5
1973-01-16,21.1,41.6,6.1,1014.8,250.5
1973-01-17,17.4,50.2,19.5,1007.0,80.7
1973-01-18,17.3,46.4,17.9,1010.5,98.7
1973-01-19,19.5,45.2,6.4,1006.6,293.1
1973-01-20,20.6,59.8,2.3,1007.6,182.6
1973-01-21,17.4,53.9,8.5,1008.9,187.4
1973-01-22,18.3,57.9,3.0,1008.6,295.1
1973-01-23,17.9,43.0,12.5,1010.5,229.1
1973-01-24,23.2,56.3,7.9,1005.5,331.3
1973-01-25,20.8,46.3,5.7,1013.0,146.1
1973-01-26,28.9,59.5,18.5,1014.7,208.7
1973-01-27,18.6,43.3,10.5,1007.6,36.4
1973-01-28,24.7,49.3,13.6,1012.4,318.0
1973-01-29,18.3,50.3,8.4,1008.2,246.2
1973-01-30,24.3,44.1,18.4,1005.1,342.6
1973-01-31,30.0,40.4,17.5,1010.8,204.1
1973-02-01,17.9,53.1,4.1,1012.0,153.8
1973-02-02,24.5,58.4,9.8,1010.7,169.9
1973-02-03,19.1,48.8,2.2,1008.4,38.1
1973-02-04,27.5,48.3,11.0,1009.5,70.8
1973-02-05,30.0,56.6,9.8,1005.1,187.6
1973-02-06,28.2,41.0,15.1,1014.6,240.7
1973-02-07,20.4,49.7,16.0,1014.1,229.4
1973-02-08,15.8,44.5,16.2,1008.3,44.4
1973-02-09,27.5,46.6,7.6,1014.5,153.8
1973-02-10,28.3,41.3,18.7,1014.2,94.1
1973-02-11,16.0,51.6,17.5,1014.7,84.3
1973-02-12,19.0,41.3,16.1,1012.8,47.9
1973-02-13,18.3,52.2,9.3,1009.5,284.8
1973-02-14,28.8,47.2,9.1,1012.2,291.6
